ID,BuildingTypeName,PropertyTypeEPA,BuildingName,Address,City,State,Zip,Neighborhood,Latitude,Longitude,YearBuilt,GrossFloorAreaQuantity,NumBuildings,NumFloors,NumUnits,ES_Score,SiteEUI,SourceEUI,TotalGHGEmissionsReg,GHGEmissionsIntensity
73,NonResidential,K-12 School,SEATTLE HEBREW ACADAMY,1617 INTERLAKEN DR E,SEATTLE,WA,98112,EAST,47.63445532,-122.3080163,1/1/1911,56072,1,3,0,77,55.4000015259,78.6999969482,184.8000030518,0.0032957626
77,NonResidential,Hotel,COMFORT SUITES SEATTLE CENTER,601 ROY ST,SEATTLE,WA,98109,MAGNOLIA / QUEEN ANNE,47.62498256,-122.3445605,1/1/1999,78051,1,4,0,94,67.5999984741,135.3000030518,366.299987793,0.0046930851
82,NonResidential,Office,DEPT OF SOCIAL & HEALTH SERVICES,1700 E CHERRY ST,SEATTLE,WA,98122,CENTRAL,47.60841187,-122.3095441,1/1/1962,54984,1,2,0,65,63.7000007629,149.8000030518,264.3999938965,0.0048086715
84,NonResidential,Senior Care Community,PROVIDENCE MT ST VINCENT,4831 35TH AVE SW,SEATTLE,WA,98126,SOUTHWEST,47.55837362,-122.378518,1/1/1922,296313,1,5,215,50,153.5,246.3999938965,2849.5,0.0096165204
85,NonResidential,Senior Care Community,FOSS HOME AND VILLAGE,13023 GREENWOOD AVE N,SEATTLE,WA,98133,NORTHWEST,47.72389349,-122.3562998,1/1/1970,93397,1,2,0,1,175.3000030518,313.799987793,1077.4000244141,0.0115357027
86,NonResidential,Hotel,SCCA - ALLIANCE HOUSE,207 PONTIUS AVE N,SEATTLE,WA,98109,LAKE UNION,47.61990903,-122.3320457,1/1/2008,63371,1,6,0,68,62.7999992371,164.1000061035,318,0.0050180682
87,SPS-District K-12,K-12 School,ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT),3701 SW 104TH ST,SEATTLE,WA,98146,SOUTHWEST,47.50935392,-122.3782222,1/1/1950,53352,1,2,0,100,0,0,0,0
89,NonResidential,Medical Office,"POLYCLINIC MEDICAL OFFICE, NORTH BUILDING",1200 HARVARD AVE,SEATTLE,WA,98122,EAST,47.61249662,-122.3213373,1/1/1965,179014,0,3,0,48,105.4000015259,221.6000061035,1342.8000488281,0.0075010896
95,NonResidential,Hotel,SORRENTO HOTEL,900 MADISON ST,SEATTLE,WA,98104,EAST,47.60895788,-122.3268374,1/1/1908,76631,1,7,0,24,94.4000015259,175,483.8999938965,0.0063146767
96,NonResidential,Mixed Use Property,PUGET SOUND BLOOD CENTER,921 TERRY AVE,SEATTLE,WA,98104,EAST,47.60831445,-122.3266192,1/1/1983,75648,1,6,0,,201.5,509.299987793,1247.1999511719,0.016486886
98,NonResidential,Retail Store,FIRESTONE TIRE AND RUBBER CO,400 WESTLAKE AVE N,SEATTLE,WA,98109,LAKE UNION,47.622375,-122.33805,1/1/1929,72072,1,2,0,95,14.8999996185,26.6000003815,70.5,0.0009781885
100,NonResidential,Office,CITY PLACE III,551 BOREN AVE N,SEATTLE,WA,98109,LAKE UNION,47.62428336,-122.33589247,1/1/2010,287367,1,5,0,96,46.2999992371,139.3000030518,1153.5,0.0040140308
102,NonResidential,Hotel,MARRIOTT RESIDENCE INN,800 FAIRVIEW AVE N,SEATTLE,WA,98109,LAKE UNION,47.6263594,-122.333131,1/1/1990,235788,1,7,0,40,79.9000015259,178.1000061035,1381.5,0.0058590768
103,Nonresidential COS,Other,KEY ARENA - SEATTLE CENTER,305 HARRISON ST,SEATTLE,WA,98109,MAGNOLIA / QUEEN ANNE,47.62124083,-122.3534322,1/1/1962,368000,1,1,0,,79.6999969482,167.6999969482,,
104,Nonresidential COS,Other,BAGLEY WRIGHT THEATER - SEATTLE CENTER,305 HARRISON ST,SEATTLE,WA,98109,MAGNOLIA / QUEEN ANNE,47.62124083,-122.3534322,1/1/1962,91213,1,1,0,,78,201.1999969482,,
106,Nonresidential COS,Other,ARMORY - SEATTLE CENTER,305 HARRISON ST,SEATTLE,WA,98109,MAGNOLIA / QUEEN ANNE,47.62189039,-122.3502752,1/1/1938,278500,1,5,0,,97.5999984741,166.8000030518,,
107,NonResidential,Office,CITY PLACE IV,301 BOREN AVE N,SEATTLE,WA,98109,LAKE UNION,47.62099765,-122.33592466,1/1/2010,625004,1,12,0,89,66.8000030518,184.6000061035,3444.1000976563,0.0055105249
110,Nonresidential COS,Other,EXHIBITION HALL - SEATTLE CENTER,301 MERCER ST,SEATTLE,WA,98109,MAGNOLIA / QUEEN ANNE,47.62393635,-122.35193,1/1/1962,52000,1,2,0,,50.5999984741,102.4000015259,,
111,Nonresidential COS,Other,MERCER ARENA - SEATTLE CENTER,301 MERCER ST,SEATTLE,WA,98109,MAGNOLIA / QUEEN ANNE,47.62388082,-122.3499699,1/1/1928,108000,1,1,0,,8.6000003815,26.8999996185,82.3000030518,0.0007620371
112,Nonresidential COS,Other,MCCAW HALL - SEATTLE CENTER,225 MERCER ST,SEATTLE,WA,98109,MAGNOLIA / QUEEN ANNE,47.62388082,-122.3499699,1/1/1928,296000,1,2,0,,70.4000015259,174.1000061035,,
113,NonResidential,Office,KCTS 9,401 MERCER ST,SEATTLE,WA,98109,MAGNOLIA / QUEEN ANNE,47.623925,-122.3483417,1/1/1986,55632,0,2,0,,77.8000030518,244.3999938965,0,0
114,NonResidential,Office,BILL & MELINDA GATES FOUNDATION,500 5TH AVE N,SEATTLE,WA,98109,MAGNOLIA / QUEEN ANNE,47.62334946,-122.344706,1/1/2010,735584,1,6,0,93,49.9000015259,133.3000030518,2969.3999023438,0.0040367924
115,NonResidential,Office,SCRIPPS BUILDING - 221 FIRST AVENUE WEST,221 1ST AVE W,SEATTLE,WA,98119,MAGNOLIA / QUEEN ANNE,47.62038448,-122.3584269,1/1/1970,50952,1,4,0,73,64.1999969482,181.1999969482,273.1000061035,0.0053599467
116,NonResidential,Hotel,THE MEDITERRANEAN INN,425 QUEEN ANNE AVE N,SEATTLE,WA,98109,MAGNOLIA / QUEEN ANNE,47.62294488,-122.3571048,1/1/2002,59976,1,6,0,52,84.4000015259,186.8999938965,369.8999938965,0.0061674669
117,NonResidential,Hotel,UNIVERSITY INN,4140 ROOSEVELT WAY NE,SEATTLE,WA,98105,NORTHEAST,47.65774638,-122.3175345,1/1/1962,50017,1,4,0,51,111.4000015259,207.1000061035,373.200012207,0.0074614633
118,SPS-District K-12,K-12 School,NEW COOPER ELEMENTARY SCHOOL (SPS-DISTRICT),1901 SW GENESEE ST,SEATTLE,WA,98106,DELRIDGE NEIGHBORHOODS,47.56261299,-122.3579283,1/1/1999,74468,1,3,0,,,,,
119,NonResidential,K-12 School,ST JOSEPH K-8 SCHOOL,700 18TH AVE E,SEATTLE,WA,98112,EAST,47.6262348,-122.3081985,1/1/1923,67743,1,3,0,43,34,74.6999969482,167.6999969482,0.0024755325
120,NonResidential,K-12 School,HOLY NAMES ACADEMY,728 21ST AVE E,SEATTLE,WA,98112,EAST,47.62595722,-122.304164,1/1/1908,194104,1,6,0,100,30.2999992371,51.2000007629,377.200012207,0.0019432882
121,NonResidential,Office,THE 2100 BUILDING,2100 24TH AVE S,SEATTLE,WA,98144,SOUTHEAST,47.58406769,-122.3012707,1/1/2003,63681,1,3,0,71,69.6999969482,218.8999938965,394.8999938965,0.0062012216
122,SPS-District K-12,K-12 School,JOHN MUIR ELEMENTARY SCHOOL(SPS-DISTRICT),3301 S HORTON ST,SEATTLE,WA,98144,SOUTHEAST,47.57334571,-122.2906221,1/1/1970,58933,1,2,0,71,35.4000015259,111.3000030518,191.5,0.0032494528
125,SPS-District K-12,K-12 School,ASA MERCER JR HIGH SCHOOL (SPS-DISTRICT),1600 S COLUMBIAN WAY,SEATTLE,WA,98108,GREATER DUWAMISH,47.56301254,-122.3112112,1/1/1957,130862,1,1,0,67,45.0999984741,80.3000030518,387.799987793,0.002963427
127,SPS-District K-12,K-12 School,WHITWORTH ELEMENTARY SCHOOL (SPS-DISTRICT),5215 46TH AVE S,SEATTLE,WA,98118,SOUTHEAST,47.55446464,-122.2764003,1/1/1989,59955,1,3,0,92,26.7999992371,80.4000015259,139,0.0023184055
130,SPS-District K-12,K-12 School,MCCLURE MIDDLE (SPS-DISTRICT),1915 1ST AVE W,SEATTLE,WA,98119,MAGNOLIA / QUEEN ANNE,47.6367344,-122.3589452,1/1/1964,93218,1,2,0,86,32,65.1999969482,208.8000030518,0.0022399108
131,NonResidential,Other,CENTURYLINK: LAKEVIEW MAIN,1200 NE 64TH ST,SEATTLE,WA,98115,NORTHEAST,47.6753048,-122.315342,1/1/1941,49000,1,4,0,,131.5,412.8999938965,573.200012207,0.0116979594
132,NonResidential,Other,ROOSEVELT SQUARE,6417 ROOSEVELT WAY NE,SEATTLE,WA,98115,NORTHEAST,47.6756688,-122.3161909,1/1/1929,119146,1,2,0,,37.4000015259,76.5,312.8999938965,0.0026261897
136,NonResidential,Hotel,HOLIDAY INN EXPRESS - SEATTLE NORTH,14115 AURORA AVE N,SEATTLE,WA,98133,NORTHWEST,47.73127184,-122.3462382,1/1/2001,51390,1,4,0,86,75.1999969482,137.5,256.8999938965,0.0049990269
137,SPS-District K-12,K-12 School,BROADVIEW THOMSON ELEMENTARY (SPS-DISTRICT),13052 GREENWOOD AVE N,SEATTLE,WA,98133,NORTHWEST,47.72465187,-122.3539331,1/1/1963,131013,1,2,0,88,30.1000003815,59.2999992371,273.5,0.0020875791
138,SPS-District K-12,K-12 School,INGRAHAM HIGH (SPS-DISTRICT),1819 N 135TH ST,SEATTLE,WA,98133,NORTHWEST,47.72595704,-122.3375948,1/1/1959,245587,1,1,0,94,44.7999992371,79.3000030518,720.200012207,0.0029325657
139,NonResidential,Hotel,EXTENDED STAY AMERICA,13300 STONE AVE N,SEATTLE,WA,98133,NORTHWEST,47.72527664,-122.3410974,1/1/2002,70609,1,3,0,75,46.7000007629,104.6999969482,242.6000061035,0.0034358227
140,SPS-District K-12,K-12 School,B F DAY ELEMENTARY (SPS-DISTRICT),3921 LINDEN AVE N,SEATTLE,WA,98103,LAKE UNION,47.65474724,-122.3490987,1/1/1900,66588,1,3,0,74,30.8999996185,97.1999969482,183.3000030518,0.0027527483
144,NonResidential,Hotel,ALEXIS HOTEL,1007 1ST AVE,SEATTLE,WA,98104,DOWNTOWN,47.60477066,-122.33677673,1/1/1904,190980,1,5,0,97,36.2999992371,89.9000015259,537.9000244141,0.0028165254
145,Nonresidential COS,Other - Entertainment/Public Assembly,BENAROYA HALL,1301 3RD AVE,SEATTLE,WA,98101,DOWNTOWN,47.60810553,-122.3369663,1/1/1998,189750,1,6,0,,74.6999969482,197.8000030518,1174.4000244141,0.0061891964
147,NonResidential,Hospital (General Medical & Surgical),SWEDISH MEDICAL CENTER BALLARD CAMPUS,5300 TALLMAN AVE NW,SEATTLE,WA,98107,BALLARD,47.66742706,-122.37961578,1/1/1954,302661,4,5,0,28,209.3999938965,442.8999938965,4523.7998046875,0.014946755
148,SPS-District K-12,K-12 School,WEST WOODLAND PARK ELEMENTARY (SPS-DISTRICT),5601 5TH AVE NW,SEATTLE,WA,98107,SHARED: BALLARD & NORTHWEST,47.67031559,-122.3622592,1/1/1990,55513,1,2,0,91,27.8999996185,87.6999969482,142.3999938965,0.0025651648
163,Nonresidential COS,Other,FIRE STATION 10/FAC/EOC,105 5TH AVE S,SEATTLE,WA,98104,DOWNTOWN,47.60158047,-122.32771508,1/1/2006,71974,1,4,0,,145,361.8999938965,813.0999755859,0.0112971347
167,NonResidential,Museum,WING LUKE MUSEUM/KONG YICK BLDG.,723 S KING ST,SEATTLE,WA,98104,DOWNTOWN,47.59809588,-122.3228283,1/1/1910,58000,1,4,0,,35.7999992371,90.1999969482,162.6000061035,0.0028034484
168,NonResidential,Hotel,HAMPTON INN & SUITES,700 5TH AVE N,SEATTLE,WA,98109,MAGNOLIA / QUEEN ANNE,47.62557152,-122.347197,1/1/1996,113702,1,4,0,75,68.1999969482,152.8000030518,570.0999755859,0.0050139837
169,SPS-District K-12,K-12 School,FRANKLIN HIGH SCHOOL (SPS-DISTRICT),3013 S MOUNT BAKER BLVD,SEATTLE,WA,98144,SOUTHEAST,47.57604857,-122.2928463,1/1/1912,289588,1,4,0,93,29.7999992371,74.5999984741,673,0.0023239913
170,NonResidential,College/University,SCC FINE ARTS BLDG,801 E PINE ST,SEATTLE,WA,98122,EAST,47.61496242,-122.3217405,1/1/1915,64820,1,3,0,,42.5,104.6999969482,213.1999969482,0.0032891083
172,Campus,College/University,SOUTH SEATTLE COMMUNITY COLLEGE - CAMPUS MASTER ID,6000 16TH AVE SW,SEATTLE,WA,98106,DELRIDGE NEIGHBORHOODS,47.54550494,-122.3500523,1/1/1970,494941,27,2,0,,77.5,189.1000061035,2880.1999511719,0.0058192794
173,NonResidential,Office,SEATTLE CHILDREN'S HOSPITAL (70th & SAND POINT ADMIN BLDG),6901 SAND POINT WAY NE,SEATTLE,WA,98115,NORTHEAST,47.67843749,-122.2641702,1/1/2002,92300,1,2,0,,167,472.700012207,1358.5,0.0147183099
174,Nonresidential COS,"Repair Services (Vehicle, Shoe, Locksmith, etc)",CSC Vehicle Maintenance (E),805 S DEARBORN ST,SEATTLE,WA,98134,GREATER DUWAMISH,47.59455098,-122.3218127,1/1/1950,68359,1,1,0,,96.1999969482,192.5,456.6000061035,0.0066794424
175,SPS-District K-12,K-12 School,GARFIELD HIGH (SPS-DISTRICT),400 23RD AVE,SEATTLE,WA,98122,CENTRAL,47.60502046,-122.3018326,1/1/1900,254523,1,3,0,63,53.5,118.6999969482,996.200012207,0.0039139882
176,SPS-District K-12,K-12 School,EMERSON ELEMENTARY SCHOOL (SPS-DISTRICT),9709 60TH AVE S,SEATTLE,WA,98118,SOUTHEAST,47.51466446,-122.2588187,1/1/1909,78804,1,3,0,89,33.7999992371,82.8000030518,205.5,0.0026077356
